Data Owner,Data Status,Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes,Result Rejected
0310,"1000 - Non-Public, Review Status Unknown",P8 - San Joaquin River @ Buckley Cove,P8,B9D75871229,E0123B0032,01/13/2023 13:00,Specific Conductance,0,253,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",P8 - San Joaquin River @ Buckley Cove,P8,B9D75871229,E0123B0032,01/13/2023 13:00,Field Specific Conductance,0, 253,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",Sacramento River @ Hood - C3A,C3A - Hood,B9D82211312,E0222B0303,02/07/2022 10:45,Specific Conductance,0,195,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",Sacramento River @ Hood - C3A,C3A - Hood,B9D82211312,E0222B0303,02/07/2022 10:45,Field Specific Conductance,0, 192,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",C9 - West Canal @ Clifton Court Intake,C9,B9C74981333,E0222B0304,02/07/2022 12:40,Specific Conductance,0,431,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",C9 - West Canal @ Clifton Court Intake,C9,B9C74981333,E0222B0304,02/07/2022 12:40,Field Specific Conductance,0, 425,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,E0222B0305,02/07/2022 14:00,Specific Conductance,0,350,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,E0222B0305,02/07/2022 14:00,Field Specific Conductance,0, 344,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",D12 - San Joaquin River @ Antioch Ship Channel,D12,B9D80131484,E0222B0314,02/08/2022 10:00,Specific Conductance,0,1260,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",D12 - San Joaquin River @ Antioch Ship Channel,D12,B9D80131484,E0222B0314,02/08/2022 10:00,Field Specific Conductance,0, 1213,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,EZ2-SJR,E0222B0333,02/08/2022 10:00,Specific Conductance,0,1180,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,EZ2-SJR,E0222B0333,02/08/2022 10:00,Field Specific Conductance,0, 1213,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",D16 - San Joaquin River @ Twitchell Island,D16 - Twitchell,B9D80581401,E0222B0315,02/08/2022 11:10,Specific Conductance,0,299,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",D16 - San Joaquin River @ Twitchell Island,D16 - Twitchell,B9D80581401,E0222B0315,02/08/2022 11:10,Field Specific Conductance,0, 293,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",D19 - Frank's Tract near Russo's Landing,D19,B9D80261369,E0222B0316,02/08/2022 12:10,Specific Conductance,0,329,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",D19 - Frank's Tract near Russo's Landing,D19,B9D80261369,E0222B0316,02/08/2022 12:10,Field Specific Conductance,0, 323,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",D28A - Old River @ Rancho Del Rio,D28A,B9D75821344,E0222B0317,02/08/2022 13:05,Specific Conductance,0,332,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",D28A - Old River @ Rancho Del Rio,D28A,B9D75821344,E0222B0317,02/08/2022 13:05,Field Specific Conductance,0, 329,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",D26 - San Joaquin River @ Potato Point,D26,B9D80461340,E0222B0351,02/09/2022 10:15,Specific Conductance,0,275,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",D26 - San Joaquin River @ Potato Point,D26,B9D80461340,E0222B0351,02/09/2022 10:15,Field Specific Conductance,0, 272,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",MD10A - Disappointment Slough @ Bishop Cut,MD10A,B9S80251252,E0222B0352,02/09/2022 11:40,Specific Conductance,0,362,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
0310,"1000 - Non-Public, Review Status Unknown",MD10A - Disappointment Slough @ Bishop Cut,MD10A,B9S80251252,E0222B0352,02/09/2022 11:40,Field Specific Conductance,0, 360,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,'-
0310,"1000 - Non-Public, Review Status Unknown",P8 - San Joaquin River @ Buckley Cove,P8,B9D75871229,E0222B0353,02/09/2022 13:25,Specific Conductance,0,820,5,uS/cm@25 °C,Std Method 2510-B [1]*,3 Feet,"Water, Natural",Normal Sample,0,,,N
