DWR_Site,EMP_Site,Lat,Lon,RepCont,Collection_Date,Collection_Month,Collection_ID,Survey_Year,field.PST,field.Water.temp,field.DO.mgL,field.DO.perc,field.Secchi,field.SC.uScm,field.Salinity,field.NTU,field.pH,field.Chla,field.Fluor,bryte.NH4.mgL,bryte.NO3.mgL,bryte.Chloride.mgL,bryte.Calcium.mgL,bryte.DOC.mgL,bryte.TOC.mgL,bryte.DON.mgL,bryte.total.kjeldahl.n.mgL,bryte.SRP.mgL,bryte.TP.mgL,bryte.SiO2.mgL,bryte.VSS.mgL,bryte.TDS.mgL,bryte.TSS.mgL,bryte.amb.Chla.ugL,bryte.amb.Pheo.ugL,bryte.towNet.Chla.ave.ugL,bryte.towNet.Chla.corrected,bryte.towNet.Pheo.uncorrected,bryte.towNet.Pheo.corrected,dwr.MIC_totbvL,ucd.qpcr.total.MIC,ucd.qpcr.toxin.MIC,ucd.qpcr.DOLICO,ucd.qpcr.APHA,ucd.qpcr.total.CYA,ucd.ppia.MC.total.ugL,ucd.elisa.STX.dissolved.ugL,ucd.elisa.ANA-a.dissolved.ugL
FieldCont,FieldCont,,,1,,10,5,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
AT,D12,38.02161,-121.8063,0,2016-11-03,11,6,2016,640,17.17,8.23,,84,6101,3.3,9.1,7.4,,2,0.1,0.45,1743,47,1.8,1.5,0.2,0.4,0.09,0.11,14.2,1,3588,10,1.25,0,,,,,1.00E+07,373,0,0,23,4870,0,0,0
FT,D19,38.04376,-121.6148,0,2016-11-03,11,6,2016,820,17.18,8.38,,196,1130,0.54,3.2,7.47,,1.9,0.08,0.47,271,16,1.9,1.9,0.2,0.3,0.08,0.09,14.5,0,610,4,1.39,0,,,,,1.22E+07,6303,0,0,625,52777,0,0,0
OR,D28A,37.97048,-121.573,0,2016-11-03,11,6,2016,910,17.24,8.33,,332,722,0.33,1.4,7.42,,2.2,0.06,0.39,156,15,2.2,2.4,0.2,0.3,0.08,0.09,13.3,0,395,2,1.2,0.67,,,,,8.08E+06,1068,288,0,0,21096,0,0,0
,D16,38.0969,-121.6691,0,2016-11-04,11,6,2016,645,17.04,8.14,,184,693,0.32,3.6,7.55,,1.9,0.12,0.48,145,15,2,2,0.2,0.3,0.08,0.09,15.9,0,377,2,1.49,0,,,,,8.00E+06,672,0,654,412,192732,0,0,0
,D26,38.07664,-121.5669,0,2016-11-04,11,6,2016,735,16.73,7.81,,148,350,0.15,5.3,7.26,,2.7,0.15,0.54,59,13,2.2,2.2,0.2,0.4,0.09,0.09,16.8,0,190,2,1.13,0.59,,,,,1.06E+07,96,0,0,20,3660,0,0,0
,MD10A,38.04226,-121.4199,0,2016-11-04,11,6,2016,900,17.21,7.83,,276,244,0.1,1.3,7.2,,2.8,0.03,0.34,26,14,2.9,2.9,0.3,0.4,0.08,0.08,11.8,2,135,8,1.26,0.86,,,,,4.42E+06,1320,0,0,296,11424,0,0.05,0
RR,P8,37.97817,-121.3823,0,2016-11-04,11,6,2016,1000,17.26,6.83,,204,325,0.14,2.6,7.15,,3.1,0.09,1.12,47,13,3.1,3.1,0.4,0.5,0.27,0.28,11.6,2,176,14,1.27,0.52,,,,,4.08E+06,5916,0,0,56,18792,0,0.04,0
CV,D4,38.06248,-121.8205,0,2016-11-07,11,6,2016,1045,17.48,8.28,,96,7890,4.35,7.8,7.65,,2.8,0.13,0.5,2284,59,1.4,1.5,0.2,0.4,0.09,0.09,14.2,3,4580,11,1.48,0,,,,,8.54E+04,35,0,0,8,5988,0,0.04,0
,D8,38.05992,-121.99,0,2016-11-07,11,6,2016,915,17.09,8.37,,88,13783,7.94,7.4,7.63,,2.5,0.11,0.48,4453,99,1.1,1.2,0.3,0.4,0.09,0.12,12.2,4,8500,16,1.78,0,,,,,8.97E+06,36,0,0,67,16586,0.25,0,0
,D22,38.08453,-121.7391,0,2016-11-07,11,6,2016,1210,16.85,8.02,,64,2162,1.08,11.6,7.46,,3.1,0.18,0.5,406,22,2.5,2.5,0.2,0.4,0.09,0.09,18,3,974,17,2,0.9,,,,,8.00E+05,0,0,0,48,73616,0,0.05,0
FieldCont,FieldCont,,,1,,11,6,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2017-06-14,6,1,2017,650,18.71,8.93,,84,121,0.05,9.8,7.46,,2.8,0.06,3.68,8,8,2.2,2.2,0.2,0.2,0.04,0.05,14,3,77,11,2.5,0.99,,,,,0.00E+00,20,0,0,31,86161,0,0,0.1544284
,D22,38.08453,-121.7391,0,2017-06-14,6,1,2017,740,17.87,8.98,,108,126,0.05,6.4,7.45,,2.8,0.12,0.16,5,9,1.9,2.2,0,0.2,0.04,0.05,15.1,2,79,6,2.71,0.68,,,,,0.00E+00,45,0,19,36,87252,0,0,0
AT,D12,38.02161,-121.8063,0,2017-06-15,6,1,2017,645,19.24,8.9,,88,122,0.05,9.4,7.45,,2.2,0.06,0.16,7,8,2.2,2.2,0.3,0.5,0.05,0.05,14.2,2,77,8,2.15,0.9,,,,,0.00E+00,86,58,2,28,43334,0,0,0
FT,D19,38.04376,-121.6148,0,2017-06-15,6,1,2017,750,19.78,8.85,,160,115,0.05,5,7.62,,1.8,0.03,0.15,8,8,2.3,2.3,0.1,0.2,0.05,0.05,12.8,2,73,5,1.39,0.6,,,,,0.00E+00,13,31,0,1870,53662,0,0,0
OR,D28A,37.97048,-121.573,0,2017-06-15,6,1,2017,845,21.38,8.75,,180,136,0.06,4.3,7.76,,2,0.02,0.11,12,8,2.9,3,0,0.1,0.07,0.08,11.1,1,80,2,1.1,0.84,,,,,0.00E+00,20,20,0,121,65491,0,0,0
,D16,38.0969,-121.6691,0,2017-06-16,6,1,2017,630,20.04,8.84,,132,116,0.05,5.6,7.5,,1.7,0.04,0.17,7,8,2.4,2.4,0.2,0.2,0.05,0.06,13.3,0,72,3,1.52,0.63,,,,,8.36E+05,11,0,0,1649,79317,0,0,0
,D26,38.07664,-121.5669,0,2017-06-16,6,1,2017,740,19.77,8.74,,156,116,0.05,5.9,7.41,,2,0.07,0.18,7,8,2.3,2.4,0,0.2,0.06,0.06,13.4,1,72,5,1.06,0.57,,,,,0.00E+00,1253,0,63,3016,196113,0,0,0
,MD10A,38.04226,-121.4199,0,2017-06-16,6,1,2017,915,22.27,7.81,,160,162,0.07,3.8,7.44,,3.2,0.02,0.08,14,11,3.5,3.6,0.2,0.3,0.11,0.11,9.8,0,89,3,2.74,1.61,,,,,0.00E+00,11,16,0,5733,72137,0.290296931,0,0
RR,P8,37.97817,-121.3823,0,2017-06-16,6,1,2017,1040,19.65,8.49,,64,97,0.04,10.8,7.09,,3.4,0.04,0.23,7,6,2.9,3,0.2,0.3,0.06,0.06,10.1,2,65,11,2.74,1.61,,,,,0.00E+00,35,63,4,261,183501,0,0,0
,D8,38.05992,-121.99,0,2017-06-19,6,1,2017,940,21.6,8.72,,56,1552,0.76,15.7,7.74,,3.3,0.05,0.19,375,17,2.4,2.4,0.2,0.2,0.05,0.06,13.3,3,810,16,3.73,1.43,,,,,0.00E+00,26,22,134,538,210583,0,0,0
FieldCont,FieldCont,,,1,,6,1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,4,1672,0,0,0
CV,D4,38.06248,-121.8205,0,2017-07-13,7,2,2017,650,22.26,8.51,,48,1283,0.62,26.1,7.79,,10.3,0.02,0.07,3130,16,2.7,2.8,0.1,0.4,0.05,0.08,6.3,4,712,38,24.93,3.55,,,,,0.00E+00,51,28,0,802,1558716,0,0,0
,D22,38.08453,-121.7391,0,2017-07-13,7,2,2017,740,22.63,8.84,,52,152,0.06,13.1,7.88,,12.7,0.01,0.15,11,9,2.3,2.3,0.1,0.3,0.03,0.06,7.3,3,79,23,30.04,3.34,,,,,0.00E+00,41,33,0,8,583950,0.278185237,0,0
AT,D12,38.02161,-121.8063,0,2017-07-14,7,2,2017,700,22.41,8.55,,48,369,0.16,18.3,7.77,,12.1,0.04,0.02,69,10,2.5,2.7,0.3,0.3,0.04,0.07,3.5,3,201,27,27.09,4.11,,,,,0.00E+00,43,37,0,57,1480512,0.282095236,0,0.16686271
FT,D19,38.04376,-121.6148,0,2017-07-14,7,2,2017,815,23.78,8.76,,88,117,0.05,6.3,8.01,,7,0,0.01,7,7,2.6,2.7,0.1,0.3,0.05,0.07,3.1,1,68,11,18.5,2.72,,,,,0.00E+00,26,73,0,4,300385,0.270804097,0,0
OR,D28A,37.97048,-121.573,0,2017-07-14,7,2,2017,920,24.72,7.34,,128,120,0.05,5.2,7.53,,3.6,0.05,15.2,8,7,3,3,0,0.2,0.09,0.1,4.3,0,63,6,5.41,2.54,,,,,0.00E+00,112,17,0,180,179727,0.30474534,0,0
,D16,38.0969,-121.6691,0,2017-07-17,7,2,2017,915,24.47,8.88,,80,125,0.05,10.1,7.63,,9.1,0.04,0.05,8,7,2.4,2.4,0.3,0.3,0.04,0.06,4.1,5,67,18,22.33,5.48,,,,,0.00E+00,20,17,0,28,1062832,0.260158519,0,0
,D26,38.07664,-121.5669,0,2017-07-17,7,2,2017,1000,24.59,8.81,,88,124,0.05,8.2,7.44,,9.1,0.07,0.17,7,8,2.4,2.4,0.2,0.3,0.05,0.06,7.6,4,73,13,17.99,3.15,,,,,0.00E+00,23,0,0,2,1286262,0.253632993,0.033246228,0
,MD10A,38.04226,-121.4199,0,2017-07-17,7,2,2017,1110,27.33,6.7,,80,159,0.07,6.8,7.16,,7,0.02,0.03,14,10,3.5,3.65,0.3,0.5,0.06,0.09,4.4,4,93,8,14.35,3.14,,,,,0.00E+00,1277,0,0,324,832604,0,0,0
RR,P8,37.97817,-121.3823,0,2017-07-17,7,2,2017,1225,24.06,8.37,,60,192,0.08,10.2,7.11,,6.2,0.08,0.52,19,10,2.8,2.9,0.3,0.4,0.12,0.13,10.3,4,108,12,13.28,3.36,,,,,2.37E+06,318,209,0,301,618368,0.266504476,0,0
,D8,38.05992,-121.99,0,2017-07-18,7,2,2017,1020,22.66,8.34,,44,4118,2.16,21,7.8,,3.6,0.08,0.09,1032,31,2.3,2.4,0.2,0.2,0.05,0.06,5.6,4,2018,27,7.24,3.02,,,,,0.00E+00,23,13,0,27236,219669,0,0,0
FieldCont,FieldCont,,,1,,7,2,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,52,0,13,2884,0,0,0
CV,D4,38.06248,-121.8205,0,2017-08-10,8,3,2017,630,21.45,8.27,,56,2823,1.44,14.4,7.59,,1.8,0.05,0.26,791,26,1.9,2.1,0.3,0.3,0.07,0.07,10.7,4,527,23,2.45,1.54,,,,,0.00E+00,343,42,0,4,110511,0.263128699,0,0
,D22,38.08453,-121.7391,0,2017-08-10,8,3,2017,710,21.92,8.21,,60,330,0.14,12.5,7.63,,2.4,0.08,0.22,60,10,2,2,0.1,0.2,0.06,0.06,14,3,188,18,3.68,2.36,,,,,0.00E+00,57,433,0,5,107400,0.292928958,0,0
AT,D12,38.02161,-121.8063,0,2017-08-14,8,3,2017,905,22.49,8.07,,76,813,0.38,10.4,7.72,,1.7,0.06,0.23,188,13,2.1,2.1,0.2,0.3,0.07,0.07,11.2,2,442,12,3.25,1.17,,,,,2.83E+06,62,27,0,2,125397,0.310440867,0,0
FT,D19,38.04376,-121.6148,0,2017-08-14,8,3,2017,1010,23.33,7.8,,156,244,0.1,5.6,7.74,,2,0.03,0.18,36,9,2.2,2.2,0.1,0.2,0.07,0.07,10.2,1,135,6,2.72,1.7,,,,,0.00E+00,19,28,0,1,98553,0.268146205,0,0
OR,D28A,37.97048,-121.573,0,2017-08-14,8,3,2017,1115,24.51,7.54,,180,184,0.08,3.2,8.04,,1.9,0.02,0.12,22,9,2.4,2.4,0.2,0.4,0.08,0.08,9.7,0,102,3,1.99,0.92,,,,,5.67E+05,19,0,0,30,116438,0.272092272,0,0.347364829
,D16,38.0969,-121.6691,0,2017-08-15,8,3,2017,835,23.28,7.78,,96,192,0.08,8.5,7.75,,1.8,0.05,0.25,23,9,2,2,0.1,0.2,0.06,0.07,11.7,2,111,9,3.22,1.64,,,,,0.00E+00,34,0,0,14,140793,0.316596179,0,0
,D26,38.07664,-121.5669,0,2017-08-15,8,3,2017,925,23.35,7.63,,136,139,0.06,5.5,7.58,,1.2,0.1,0.22,9,9,2,2,0.1,0.3,0.06,0.07,13.1,1,82,4,1.95,0.97,,,,,0.00E+00,15,0,0,1,70987,0.256409358,0,0
,MD10A,38.04226,-121.4199,0,2017-08-15,8,3,2017,1045,26.02,7.27,,96,151,0.06,5,7.49,,6.5,0.03,0.05,11,10,3.1,3.1,0.3,0.4,0.05,0.06,13.3,2,91,6,11.06,3.1,,,,,0.00E+00,1372,0,0,3,522575,0.27156111,0.020394595,0
RR,P8,37.97817,-121.3823,0,2017-08-15,8,3,2017,1200,22.59,9.41,,112,239,0.1,4.7,7.71,,5.2,0.02,0.54,32,10,2.6,2.7,0.4,0.4,0.13,0.13,8.7,1,131,4,11.29,2.98,,,,,0.00E+00,518,25,0,4,440614,0,0,0
,D8,38.05992,-121.99,0,2017-08-16,8,3,2017,1030,21.41,8.4,,80,6336,3.43,10.8,7.99,,1.4,0.05,0.3,3100,49,1.2,1.2,0,0.2,0.07,0.07,10.4,2,3648,13,1.83,0.65,,,,,0.00E+00,7,0,0,1,47822,0,0.02794254,0
FieldCont,FieldCont,,,1,,8,3,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,113,0,0,0
CV,D4,38.06248,-121.8205,0,2017-09-11,9,4,2017,815,22.85,7.86,,56,1362,0.66,19.7,7.57,,2.5,0.06,0.29,331,17,1.8,1.9,0.1,0.3,0.07,0.08,15.2,5,749,27,1.9,0.97,,,,,4.62E+08,11,20,0,1,38731,0,0,0
,D22,38.08453,-121.7391,0,2017-09-11,9,4,2017,900,22.55,8,,100,151,0.06,7.8,7.43,,2,0.11,0.23,7,11,1.9,1.9,0,0.3,0.06,0.07,16.9,1,93,10,4.09,1,,,,,0.00E+00,13,0,0,1,22941,0,0,0
AT,D12,38.02161,-121.8063,0,2017-09-12,9,4,2017,920,23.22,7.83,,60,592,0.27,12.7,7.46,,2.4,0.06,0.26,121,13,2.2,2.2,0.1,0.2,0.08,0.08,15.1,2,319,16,2.97,1.7,,,,,1.33E+06,2283,2436,0,1,54174,0.271030985,0,0
FT,D19,38.04376,-121.6148,0,2017-09-12,9,4,2017,1030,23.7,7.93,,180,181,0.08,3.3,7.56,,1.7,0.04,0.24,16,10,2,2,0,0.1,0.07,0.08,15.5,1,98,4,2.41,1.23,,,,,1.91E+09,116,42,0,9,43547,0.259819803,0,0
OR,D28A,37.97048,-121.573,0,2017-09-12,9,4,2017,1140,24.8,8.02,,268,172,0.07,1.5,7.77,,3.3,0.03,0.14,15,10,2.4,2.4,0,0.2,0.07,0.07,13.7,0,96,2,1.79,0.77,,,,,1.01E+09,115460,112671,0,20,324270,1.010949215,0,0
,D16,38.0969,-121.6691,0,2017-09-13,9,4,2017,845,23.08,8.07,,124,166,0.07,6.3,7.51,,2,0.06,0.26,12,11,2,2.1,0.2,0.3,0.06,0.07,15.8,1,94,8,2.65,1.47,,,,,2.61E+09,10364,8641,0,322,104225,0.548901929,0,0
,D26,38.07664,-121.5669,0,2017-09-13,9,4,2017,945,22.61,8.03,,136,150,0.06,6.9,7.43,,1.9,0.1,0.25,8,11,2,2,0.1,0.2,0.06,0.06,16,2,89,8,1.64,1.16,,,,,1.17E+07,12706,8739,0,1,47751,0.281361255,0,0
,MD10A,38.04226,-121.4199,0,2017-09-13,9,4,2017,1100,25.18,7.46,,108,158,0.07,3.4,7.36,,6.1,0.02,0.08,10,11,2.9,2.9,0.2,0.3,0.06,0.07,15.8,2,92,5,7.65,2.67,,,,,0.00E+00,384,0,0,981,315886,0,0,0
RR,P8,37.97817,-121.3823,0,2017-09-13,9,4,2017,1220,23.61,7.64,,104,301,0.13,4.9,7.2,,3,0.07,1.04,47,12,2.6,2.7,0.3,0.4,0.16,0.16,10.8,1,167,4,3.38,2.29,,,,,3.01E+06,843,0,0,1,211415,0,0.024183537,0
,D8,38.05992,-121.99,0,2017-09-14,9,4,2017,1055,22.28,8.44,,56,5280,2.82,17.3,7.76,,2.5,0.08,0.34,1450,44,1.8,1.9,0.3,0.2,0.08,0.08,70.9,4,3158,24,2.34,0.87,,,,,3.40E+08,117,67,0,1,122947,0,0.024169781,0
FieldCont,FieldCont,,,1,,9,4,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,44,0,0,0
CV,D4,38.06248,-121.8205,0,2017-10-09,10,5,2017,650,17.91,8.74,,48,1835,0.91,28.5,7.55,,2.5,0.08,0.27,469,20,1.6,1.6,0.2,0.3,0.08,0.1,15,7,1007,62,2.26,1.92,,,,,1.44E+07,11,0,0,9,128101,0,0,0
,D22,38.08453,-121.7391,0,2017-10-09,10,5,2017,740,16.71,9.12,,88,128,0.05,7.5,7.36,,1.9,0.12,0.23,7,9,1.6,1.6,0,0.3,0.05,0.05,15.8,2,85,11,2.4,0.92,,,,,0.00E+00,8,0,0,74,166063,0,0.02060408,0
AT,D12,38.02161,-121.8063,0,2017-10-10,10,5,2017,815,17.59,8.7,,48,670,0.31,19.2,7.48,,2.8,0.07,0.23,137,13,1.9,1.9,0.2,0.3,0.06,0.07,15.1,2,349,20,2.72,1.71,,,,,2.72E+05,23,17,0,141,176177,0,0,0
FT,D19,38.04376,-121.6148,0,2017-10-10,10,5,2017,930,17.8,9.13,,204,159,0.07,2.5,7.64,,1,0.03,0.19,14,10,2,2,0.2,0.2,0.06,0.06,14.5,0,95,4,1.78,0.74,,,,,1.92E+08,1620,202,2,588,70745,0,0,0
OR,D28A,37.97048,-121.573,0,2017-10-10,10,5,2017,1020,18.17,8.77,,288,156,0.06,1.8,7.68,,1.4,0.02,0.08,12,10,2.4,2.4,0.2,0.2,0.05,0.05,12.3,0,90,2,1.62,0.71,,,,,3.04E+07,4527,892,0,123,33001,0,0,0
,D16,38.0969,-121.6691,0,2017-10-11,10,5,2017,750,17.69,8.96,,136,146,0.06,5.4,7.37,,2,0.05,0.21,11,9,1.8,1.9,0.1,0.3,0.05,0.05,14.7,1,94,6,1.7,0.84,,,,,0.00E+00,121,0,0,134,34453,0,0,0
,D26,38.07664,-121.5669,0,2017-10-11,10,5,2017,845,17.48,9,,140,126,0.05,4.7,7.33,,2,0.07,0.21,7,9,1.8,1.8,0,0.2,0.05,0.05,14.8,1,76,7,1.35,0.74,,,,,2.45E+06,7,0,0,65,37443,0,0,0
,MD10A,38.04226,-121.4199,0,2017-10-11,10,5,2017,950,18,8.65,,196,141,0.06,2.3,7.25,,4.4,0.02,0.08,9,10,2.4,2.6,0.2,0.2,0.05,0.05,13.2,1,89,4,4.1,2.3,,,,,4.19E+06,38,0,0,46,114253,0,0,0
RR,P8,37.97817,-121.3823,0,2017-10-11,10,5,2017,1125,18.5,7.74,,140,424,0.19,11.8,7.21,,2.5,0.09,1.93,69,15,2.9,2.9,0.3,0.4,0.27,0.27,11.7,2,237,15,1.61,1.01,,,,,3.40E+06,184,0,2,1,123957,0.252619159,0,0
,D8,38.05992,-121.99,0,2017-10-12,10,5,2017,945,17.46,8.77,,44,7185,3.93,14.5,7.7,,1.7,0.09,0.33,2200,55,1.5,1.5,0,0.1,0.08,0.08,14.1,4,4476,22,1.75,0.66,,,,,0.00E+00,0,0,0,4,123755,0,0,0
FieldCont,FieldCont,,,1,,10,5,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,70,0,0,0
CV,D4,38.06248,-121.8205,0,2017-11-15,11,6,2017,845,15.39,8.78,,72,5766,3.1,16.5,7.46,,2.9,0.1,0.39,1416,42,1.6,2.3,0.1,0.2,0.07,0.07,14.7,2,3754,13,1.51,0.65,,,,,5.40E+06,0,0,0,1,64137,0,0,0
,D22,38.08453,-121.7391,0,2017-11-15,11,6,2017,1015,15.46,8.74,,80,952,0.45,7.5,7.46,,2.8,0.12,0.41,210,15,1.7,1.8,0.1,0.3,0.07,0.07,15.5,1,497,9,2.03,0.88,,,,,0.00E+00,11,0,0,8,42012,0,0,0
AT,D12,38.02161,-121.8063,0,2017-11-13,11,6,2017,1000,15.5,9.09,,100,812,0.38,8.8,7.54,,2.2,0.07,0.4,187,14,1.7,1.8,0.2,0.3,0.06,0.06,14.6,2,454,10,1.76,0.74,,,,,0.00E+00,188,66,10,4,39512,0,0,0
FT,D19,38.04376,-121.6148,0,2017-11-13,11,6,2017,1100,15.47,8.95,,200,192,0.08,2.9,7.43,,1.8,0.06,0.45,21,11,2.2,2.2,0.2,0.3,0.05,0.06,14,1,106,4,1.02,0.65,,,,,0.00E+00,321,0,0,111,33705,0,0,0
OR,D28A,37.97048,-121.573,0,2017-11-13,11,6,2017,1145,15.35,8.25,,252,191,0.08,2,7.32,,1.8,0.05,0.38,20,11,2.6,2.6,0.2,0.3,0.06,0.06,12.8,0,106,2,1.14,0.76,,,,,0.00E+00,2230,0,0,2,37979,0,0,0
,D16,38.0969,-121.6691,0,2017-11-14,11,6,2017,940,15.37,8.82,,200,185,0.08,2.9,7.38,,1.5,0.08,0.46,19,11,2.2,2.2,0.2,0.4,0.07,0.07,15.1,0,101,3,1.13,0,,,,,0.00E+00,41,0,0,8,59144,0,0,0
,D26,38.07664,-121.5669,0,2017-11-14,11,6,2017,1030,15.06,8.5,,288,184,0.08,2.2,7.29,,1.6,0.13,0.52,16,11,2.4,2.5,0.3,0.4,0.08,0.08,15.3,0,101,3,0.69,0,,,,,9.70E+06,0,0,0,1,43668,0,0,0
,MD10A,38.04226,-121.4199,0,2017-11-14,11,6,2017,1200,15.4,8.31,,144,275,0.12,4,7.27,,3,0.06,0.6,35,14,2.9,3,0.3,0.5,0.07,0.08,11.1,1,152,4,2.14,1.2,,,,,0.00E+00,0,16,0,159,179184,0,0,0
RR,P8,37.97817,-121.3823,0,2017-11-14,11,6,2017,1320,14.23,9.3,,76,375,0.17,8.3,7.39,,2.1,0.06,1.35,44,17,2.9,2.9,0.2,0.4,0.13,0.14,14.2,2,197,12,1.28,1.12,,,,,0.00E+00,49,0,0,4,172160,0,0,0
,D8,38.05992,-121.99,0,2017-11-15,11,6,2017,1155,15.16,8.94,,56,10302,5.8,17.4,7.63,,2.2,0.13,0.42,3004,76,0.5,0.5,0,0.3,0.08,0.08,13.6,8,6088,35,1.6,0.8,,,,,0.00E+00,0,0,0,4,57201,0,0.020762968,0
FieldCont,FieldCont,,,1,,11,6,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,4,56,0,0,0
CV,D4,38.06248,-121.8205,0,2018-06-05,6,1,2018,705,20.54,8.53,,44,1276,0.62,20.4,7.63,,3.5,0.06,0.4,303,17,2.6,2.7,0.1,0.4,0.08,0.1,12.8,2,706,19,2.61,0.73,,,,,5.49E+07,0,0,0,0,93632,0,0,
,D22,38.08453,-121.7391,0,2018-06-05,6,1,2018,750,20.64,8.56,,76,165,0.07,7.9,7.44,,2.4,0.12,0.31,10,10,2.4,2,0,0.4,0.07,0.07,15.9,1,96,8,3.91,0,,,,,1.67E+06,190,0,0,0,124626,0,0,
AT,D12,38.02161,-121.8063,0,2018-06-04,6,1,2018,720,20.67,8.36,,64,615,0.28,12.8,7.45,,2.6,0.06,0.38,120,13,2.7,2.7,0.3,0.4,0.08,0.08,12.4,1,333,11,2.01,1.2,,,,,4.09E+06,0,0,0,0,53119,0,0,
FT,D19,38.04376,-121.6148,0,2018-06-04,6,1,2018,835,21.58,8.61,,164,202,0.09,6.8,7.54,,2.1,0.02,0.29,19,11,2.7,2.7,0.2,0.4,0.07,0.07,10.9,0,110,3,2.13,0.66,,,,,2.57E+06,0,0,0,625,85513,0,0,
OR,D28A,37.97048,-121.573,0,2018-06-04,6,1,2018,910,23.36,8.53,,188,239,0.1,2,7.69,,2.9,0.02,0.11,28,12,3.5,3.5,0.3,0.3,0.07,0.08,6.6,0,131,3,2.16,1.28,,,,,7.95E+06,0,0,0,1048,67141,0,0,
,D16,38.0969,-121.6691,0,2018-06-07,6,1,2018,825,21.56,8.69,,196,190,0.08,2.8,7.43,,2.7,0.02,0.29,17,11,2.5,2.6,0.2,0.2,0.07,0.08,11.9,1,115,3,2.74,0.72,,,,,1.19E+07,148,0,1071,246,107957,0,0,
,D26,38.07664,-121.5669,0,2018-06-07,6,1,2018,920,21.86,8.49,,180,175,0.07,2.5,7.3,,2.7,0.05,0.28,15,10,2.5,2.5,0.2,0.3,0.07,0.07,12.5,1,101,3,2.9,0.93,,,,,8.20E+05,0,0,0,555,106374,0,0,
,MD10A,38.04226,-121.4199,0,2018-06-07,6,1,2018,1045,23.81,7.65,,168,229,0.1,2.7,7.28,,2.7,0.02,0.1,25,13,3.6,3.6,0.3,0.3,0.1,0.11,9.9,1,129,4,2.62,0.96,,,,,3.55E+06,0,0,0,1118,117342,0,0,
RR,P8,37.97817,-121.3823,0,2018-06-07,6,1,2018,1200,22.16,8.11,,100,343,0.15,7.2,7.12,,3.3,0.03,0.86,53,14,2.9,3,0.3,0.4,0.16,0.18,10.9,1,188,7,3.93,1.06,,,,,5.17E+07,145,0,0,0,191120,0,0,
,D8,38.05992,-121.99,0,2018-06-08,6,1,2018,1015,20.04,8.75,,44,5735,3.09,19.3,7.77,,2.9,0.06,0.43,1600,45,2.2,2.3,0.2,0.3,0.09,0.1,12,4,3260,25,1.67,0.65,,,,,1.47E+07,144,0,0,0,63567,0,0,
FieldCont,FieldCont,,,1,,6,1,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
CV,D4,38.06248,-121.8205,0,2018-07-18,7,2,2018,740,21.3,8.39,,48,5480,2.94,23.6,7.63,,2.9,0.07,0.36,1600,46,2,2.1,0.2,0.3,0.09,0.11,12.7,4,3280,26,2.94,1.38,,,,,7.96E+10,145,0,0,1778,73357,0.260218288,0.033191664,0
,D22,38.08453,-121.7391,0,2018-07-18,7,2,2018,825,21.75,8.44,,40,1116,0.53,22.6,7.81,,2.7,0.08,0.29,262,15,2.1,2.3,0.2,0.3,0.08,0.09,14,3,605,23,5.23,2.08,,,,,7.69E+07,194,97,0,881,54356,0,0,0
AT,D12,38.02161,-121.8063,0,2018-07-19,7,2,2018,900,21.76,8.46,,56,2537,1.29,19.9,7.8,,2.9,0.06,0.31,638,25,2.1,2.3,0.2,0.3,0.08,0.09,13,3,1400,19,4.03,2.01,,,,,7.92E+08,336,144,0,1640,57435,0,0,0
FT,D19,38.04376,-121.6148,0,2018-07-19,7,2,2018,1040,23.04,8.64,,180,375,0.17,2.3,8.03,,1.6,0.02,0.21,64,11,2.3,2.3,0.1,0.2,0.07,0.07,11.9,0,197,2,3.34,0.94,,,,,1.81E+09,3600,96,0,4864,59042,2.22386744,0,0
OR,D28A,37.97048,-121.573,0,2018-07-19,7,2,2018,1115,24.12,8.44,,200,258,0.11,2.5,8.3,,1.5,0.02,0.07,36,11,2.7,2.7,0.1,0.2,0.07,0.07,8.6,0,142,2,4.08,0.94,,,,,2.40E+09,17319,1303,48,2259,74744,1.277968756,0,0
,D16,38.0969,-121.6691,0,2018-07-09,7,2,2018,1210,22.82,8.29,,156,194,0.08,4.2,7.79,,1.7,0.04,0.32,21,10,2.3,2.3,0.1,0.2,0.06,0.07,13.1,1,105,5,3.69,1.03,,,,,1.14E+09,839,140,0,6050,66289,0,0,0
