"","count_(Intercept)","count_chlor","count_depth","count_DO","count_habitat","count_month","count_salinity2","count_sediment","count_turb","count_w_temp","zero_(Intercept)","zero_chlor","zero_depth","zero_DO","zero_habitat","zero_month","zero_salinity2","zero_sediment","zero_turb","zero_w_temp","df","logLik","AICc","delta","weight"
"123634",9.2709680198726,-0.0481760512885314,NA,NA,NA,"+",-0.0583619404494349,"+",-0.00338938777833825,NA,-1.60611396788395,0.0373028367852148,NA,NA,NA,"+",1.19164404920092,"+",0.013401874907175,NA,17,-1417.90258526528,2872.77604431697,18.3170740409228,1.50740278113341e-05
"187246",11.2144143295881,0.00451135046625242,NA,-0.0228577723499561,"+",NA,0.124351053528005,"+",NA,-0.0617732293592855,3.50844041331885,0.0710765674387538,NA,-0.737796625773045,"+",NA,1.27349473647325,"+",NA,0.107989445286302,21,-1413.18517021667,2872.94459785907,18.4856275830284,1.38556969384209e-05
"126712",6.57446866798943,0.00722767131056661,0.23057042806118,0.148735012129091,NA,"+",0.021845445675395,"+",0.00765087157616482,NA,1.83815086572759,0.020651274368788,-0.129189165504709,-0.360009674712847,NA,"+",1.24274099814444,"+",0.00901200594042238,NA,21,-1413.22043034604,2873.01511811782,18.5561478417771,1.33756561561085e-05
"155953",12.6533768564496,NA,NA,NA,NA,"+",-0.01986896037809,NA,NA,-0.182147397497328,-3.8544102275309,NA,NA,NA,NA,"+",1.17837976325603,NA,NA,0.138273607889969,9,-1427.12682369591,2873.09476888715,18.6357986111007,1.28534333871979e-05
"183142",10.2816197188528,-0.0340206263417736,NA,0.16691727928589,NA,NA,-0.141007173276786,"+",NA,-0.119189400137545,0.19183680711157,0.0409353161657728,NA,-0.432180377464253,NA,NA,1.17946984203331,"+",NA,0.0887186696104026,17,-1418.06984556257,2873.11056491156,18.6515946355134,1.27523166496515e-05
"60022",7.65558924363059,-0.0366882162267338,NA,0.187845503271873,NA,"+",-0.0768603702503764,"+",NA,NA,2.49159828058643,0.039857642727581,NA,-0.467575242490957,NA,"+",1.14696433628569,"+",NA,NA,17,-1418.10639868822,2873.18367116284,18.7247008867985,1.22945961380211e-05
"259579",12.545532140688,NA,0.143422313278863,NA,"+","+",0.0740716885597128,"+",0.00987027900858457,-0.171308843822329,-3.69512622702117,NA,-0.254012693271149,NA,"+","+",1.44015656333892,"+",0.0160410635633329,0.190981527166065,23,-1410.85818977821,2873.23637955641,18.7774092803675,1.19748142379031e-05
"255988",13.3989386824777,-0.00585469311594607,0.226016478549274,NA,NA,"+",-0.086375568439032,"+",0.00537321211658635,-0.25158132501039,-3.99504289161787,0.0240258948962721,-0.128289841326522,NA,NA,"+",1.28906860009011,"+",0.0120861512513215,0.134167781996124,21,-1413.36648295558,2873.3072233369,18.8482530608539,1.1558068221821e-05
"252910",10.7322241696138,0.0185217864496824,NA,0.0399466725444531,"+",NA,0.182309039672977,"+",0.0108629016365696,-0.062163127237226,1.24233111022111,0.0711260553795405,NA,-0.59431980711411,"+",NA,1.38273777709499,"+",0.0143754415116603,0.145534765040974,23,-1410.91321396363,2873.34642792727,18.8874576512208,1.13337097117576e-05
"195967",13.1529163079795,NA,0.146333467730008,-0.0151670400776915,"+","+",-0.00576928655744683,"+",NA,-0.192405757197878,6.0281731624232,NA,-0.250670841176016,-0.779102735022091,"+","+",1.32336851752364,"+",NA,0.0619167377544172,23,-1410.92555457779,2873.37110915559,18.9121388795443,1.11947042437067e-05
