"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"90","D19",2021-03-04 10:35:00,"EMP",120,12.2,10.01,452,7.78,1,5.4
"91","D28A",2021-03-04 11:20:00,"EMP",160,12.58,9.65,483,7.73,1,3.8
"92","P8",2021-03-05 11:00:00,"EMP",172,13.06,8.53,956,7.57,1,3.2
"93","D26",2021-03-05 08:30:00,"EMP",120,12.36,9.91,346,7.77,1,6.9
"94","MD10A",2021-03-05 09:40:00,"EMP",204,13.04,10.21,418,7.77,1,2.1
"95","D4",2021-03-08 11:35:00,"EMP",40,12.79,10,8150,7.79,1,23
"96","NZ068",2021-03-08 14:15:00,"EMP",140,12.53,10.26,303,8.02,1,4.7
"97","D22",2021-03-08 13:00:00,"EMP",40,12.57,10.18,2568,7.93,1,20.9
"98","D8",2021-03-09 11:15:00,"EMP",44,12.73,9.89,12238,7.84,1,15.4
"99","D10",2021-03-09 12:00:00,"EMP",36,12.6,9.99,10460,7.92,1,28.9
"100","D6",2021-03-10 11:35:00,"EMP",80,12.74,9.21,26446,7.85,1,13.2
"101","NZ032",2021-03-10 14:05:00,"EMP",36,13.2,9.67,8346,7.85,1,24.8
"102","NZS42",2021-03-10 13:10:00,"EMP",32,12.84,9.39,8104,7.83,1,32.4
"103","D7",2021-03-10 12:20:00,"EMP",44,12.62,9.69,16430,7.97,1,18.6
"104","NZ004",2021-03-11 12:15:00,"EMP",124,12.63,9.01,29120,7.92,1,7.7
"105","NZ002",2021-03-11 11:50:00,"EMP",84,12.73,8.89,31888,7.93,1,8.8
"106","NZ325",2021-03-11 11:10:00,"EMP",120,12.79,8.98,31676,7.94,1,4.4
"107","D41",2021-03-11 10:30:00,"EMP",120,12.36,8.66,39736,7.92,1,3.9
"108","D41A",2021-03-11 09:45:00,"EMP",56,12.17,8.83,34385,7.88,1,12.6
