region,date,n,n.cen,median,mean,sd,analyte
San Pablo Bay,Oct 2020,6,0,8.199999999999989,8.249999999999995,2.5897876360813834,TurbiditySurface
San Pablo Bay,Sep 2019,6,0,10.599999999999994,11.933333333333332,5.752796421451626,TurbiditySurface
San Pablo Bay,Sep 2020,6,0,8.699999999999989,12.4,5.813776741499447,TurbiditySurface
Southern Interior Delta,Apr 2019,4,0,5.340000000000003,6.655000000000008,5.172552561356917,TurbiditySurface
Southern Interior Delta,Aug 2019,4,0,4.099999999999994,7.990000000000002,5.277796257277591,TurbiditySurface
Southern Interior Delta,Aug 2020,4,0,6.5,6.649999999999999,2.8664728616658173,TurbiditySurface
Southern Interior Delta,Dec 2019,4,0,1.9000000000000057,6.115000000000002,5.006192831550397,TurbiditySurface
Southern Interior Delta,Dec 2020,2,0,NA,4.25,1.0606601717798214,TurbiditySurface
Southern Interior Delta,Feb 2019,4,0,24.400000000000006,27.497500000000002,15.593614879174096,TurbiditySurface
Southern Interior Delta,Feb 2020,4,0,1.8000000000000114,3.8499999999999943,2.5013329779672744,TurbiditySurface
Southern Interior Delta,Jan 2019,4,0,5.699999999999989,8.144999999999996,4.960923973078682,TurbiditySurface
Southern Interior Delta,Jan 2020,4,0,3.5999999999999943,4.600000000000001,2.225608531016477,TurbiditySurface
Southern Interior Delta,Jul 2019,4,0,6.099999999999994,8.780000000000001,5.568985544962383,TurbiditySurface
Southern Interior Delta,Jul 2020,4,0,4.400000000000006,5.024999999999999,2.095033810387468,TurbiditySurface
Southern Interior Delta,Jun 2019,4,0,5.199999999999989,7.285000000000004,3.8077158507430755,TurbiditySurface
Southern Interior Delta,Jun 2020,4,0,3.8000000000000114,4.725000000000001,2.4143667216615294,TurbiditySurface
Southern Interior Delta,Mar 2019,4,0,7.199999999999989,9.399999999999999,5.049759070160342,TurbiditySurface
Southern Interior Delta,Mar 2020,4,0,1.9000000000000057,3.4750000000000014,3.0836936726378394,TurbiditySurface
Southern Interior Delta,May 2019,4,0,4.5,6.825000000000003,5.263702752499115,TurbiditySurface
Southern Interior Delta,Nov 2019,4,0,3,5.965000000000003,4.510716868377647,TurbiditySurface
Southern Interior Delta,Nov 2020,4,0,2.0999999999999943,3.049999999999997,2.0371548787463363,TurbiditySurface
Southern Interior Delta,Oct 2019,4,0,6,8.502499999999998,6.839650941385824,TurbiditySurface
Southern Interior Delta,Oct 2020,4,0,3.1999999999999886,4.649999999999999,3.754552791833751,TurbiditySurface
Southern Interior Delta,Sep 2019,4,0,6.900000000000006,9.259999999999998,6.530604872444821,TurbiditySurface
Southern Interior Delta,Sep 2020,4,0,3.5,3.8249999999999957,0.8770214744615239,TurbiditySurface
Suisun & Grizzly Bays,Apr 2019,4,0,39.5,42.85000000000001,15.938736880108578,TurbiditySurface
Suisun & Grizzly Bays,Aug 2019,4,0,16.099999999999994,17.049999999999997,5.674210664635806,TurbiditySurface
Suisun & Grizzly Bays,Aug 2020,4,0,10.599999999999994,10.424999999999997,3.8595120589698033,TurbiditySurface
Suisun & Grizzly Bays,Dec 2019,4,0,17.599999999999994,19.699999999999996,6.844462481938719,TurbiditySurface
